sample	GenotypeRate	Heterozygosity	conScore
257	coarCHIm.M29.23	0.870020964360587	0.010482180293501	0
258	coarCHIm.M30.23	0.836477987421384	0.00838574423480084	0
259	coarCHIm.M31.23	0.821802935010482	0.00838574423480084	0
260	coarCHIm.M32.23	0.828092243186583	0.00419287211740042	0
261	coarCHIm.M33.23	0.781970649895178	0.00628930817610063	0
262	coarCHIm.M34.23	0.859538784067086	0.00628930817610063	0
263	coarCHIm.M35.23	0.836477987421384	0.00838574423480084	0
264	coarCHIm.M36.23	0.844863731656184	0.010482180293501	0
265	coarCHIm.M37.23	0.89937106918239	0.00628930817610063	0
266	coarCHIm.M38.23	0.884696016771488	0.010482180293501	0
267	coarCHIm.M39.23	0.851153039832285	0.00838574423480084	0
268	coarCHIm.M40.23	0.861635220125786	0.00628930817610063	0
269	coarCHIm.M41.23	0.874213836477987	0.00628930817610063	0
270	coarCHIm.M42.23	0.857442348008386	0.00628930817610063	0
271	coarCHIm.M43.23	0.811320754716981	0.00628930817610063	0
272	coarCHIm.M44.23	0.838574423480084	0.00628930817610063	0
273	coarCHIm.M45.23	0.830188679245283	0.00628930817610063	0
274	coarCHIm.M46.23	0.874213836477987	0.00838574423480084	0
275	coarCHIm.M47.23	0.834381551362683	0.010482180293501	0
276	coarCHIm.M48.23	0.819706498951782	0.00628930817610063	0
277	coarCHIm.M49.23	0.90356394129979	0.00838574423480084	0.25
278	coarCHIm.M50.23	0.865828092243187	0.00628930817610063	0
279	coarCHIm.M51.23	0.840670859538784	0.00628930817610063	0
280	coarCHIm.M52.23	0.821802935010482	0.00628930817610063	0.333333333333333
281	coarCHIm.M53.23	0.853249475890985	0.010482180293501	0
