Sample	Total Reads	Off-target Reads	Primer Only Reads	Primer Probe Reads	Off-target Proportion	Primer Only Proportion	Primer Probe Proportion
coarCHIm-M66-23	14853	1854	5270	7729	0.12	0.35	0.52
coarCHIm-M67-23	12953	1957	5188	5808	0.15	0.40	0.45
coarCHIm-M68-23	11477	1699	4159	5619	0.15	0.36	0.49
coarCHIm-M69-23	11791	1869	4841	5081	0.16	0.41	0.43
coarCHIm-M70-23	1391	184	621	586	0.13	0.45	0.42
coarCHIm-M71-23	11387	1766	4416	5205	0.16	0.39	0.46
coarCHIm-M72-23	14795	2054	5296	7445	0.14	0.36	0.50
coarCHIm-M7-23	13816	1849	5135	6832	0.13	0.37	0.49
coarCHIm-M8-23	16171	1934	5312	8925	0.12	0.33	0.55
coarCHIm-M9-23	16288	1888	5328	9072	0.12	0.33	0.56
coarEASm-188-21	101118	12961	41749	46408	0.13	0.41	0.46
coarEASm-190-21	62338	6505	18115	37718	0.10	0.29	0.61
coarEASm-191-21	40628	3263	6603	30762	0.08	0.16	0.76
coarEASm-192-21	44798	3446	6211	35141	0.08	0.14	0.78
coarEASm-193-21	51107	4889	12846	33372	0.10	0.25	0.65
coarEASm-194-21	44330	4267	9767	30296	0.10	0.22	0.68
coarEASm-195-21	38674	4262	10337	24075	0.11	0.27	0.62
coarEASm-196-21	49424	4589	10630	34205	0.09	0.22	0.69
coarEASm-197-21	56985	5426	14034	37525	0.10	0.25	0.66
coarEASm-198-21	51510	5256	12393	33861	0.10	0.24	0.66
coarEASm-199-21	54548	4898	11676	37974	0.09	0.21	0.70
coarEASm-200-21	107868	9542	30826	67500	0.09	0.29	0.63
coarEASm-201-21	34834	3501	7996	23337	0.10	0.23	0.67
coarEASm-202-21	21428	2854	5753	12821	0.13	0.27	0.60
coarEASm-203-21	22925	2729	5521	14675	0.12	0.24	0.64
coarEASm-204-21	26931	3298	6531	17102	0.12	0.24	0.64
coarEASm-205-21	28877	3155	6812	18910	0.11	0.24	0.65
coarEASm-206-21	29109	3381	7297	18431	0.12	0.25	0.63
coarEASm-207-21	27253	3195	6743	17315	0.12	0.25	0.64
coarEASm-208-21	25110	3170	6373	15567	0.13	0.25	0.62
coarEASm-209-21	28155	3445	7183	17527	0.12	0.26	0.62
coarEASm-210-21	26833	3517	7101	16215	0.13	0.26	0.60
coarEASm-211-21	22443	3091	5833	13519	0.14	0.26	0.60
coarEASm-212-21	41039	5035	11581	24423	0.12	0.28	0.60
coarEASm-213-21	29378	3570	7835	17973	0.12	0.27	0.61
coarEASm-214-21	23811	2996	6167	14648	0.13	0.26	0.62
coarEASm-215-21	20331	2548	5244	12539	0.13	0.26	0.62
coarEASm-216-21	28401	3459	7227	17715	0.12	0.25	0.62
coarEASm-217-21	23065	2871	5601	14593	0.12	0.24	0.63
coarEASm-218-21	23039	2716	5281	15042	0.12	0.23	0.65
coarEASm-219-21	23262	2817	5855	14590	0.12	0.25	0.63
coarEASm-220-21	21680	2569	5099	14012	0.12	0.24	0.65
coarEASm-221-21	28462	3126	6329	19007	0.11	0.22	0.67
coarEASm-222-21	23706	2477	4814	16415	0.10	0.20	0.69
coarEASm-223-21	21675	2691	5491	13493	0.12	0.25	0.62
coarEASm-224-21	33682	3312	7126	23244	0.10	0.21	0.69
coarEASm-225-21	33633	4078	9005	20550	0.12	0.27	0.61
coarEASm-226-21	23284	3288	6777	13219	0.14	0.29	0.57
coarEASm-227-21	26279	3045	5907	17327	0.12	0.22	0.66
coarEASm-228-21	28936	2939	5874	20123	0.10	0.20	0.70
coarEASm-229-21	22639	3022	6120	13497	0.13	0.27	0.60
coarEASm-230-21	20867	2871	5884	12112	0.14	0.28	0.58
coarEASm-231-21	23570	3035	5851	14684	0.13	0.25	0.62
coarEASm-232-21	24229	3319	6669	14241	0.14	0.28	0.59
coarEASm-233-21	24146	3315	6618	14213	0.14	0.27	0.59
coarEASm-234-21	23141	2723	5212	15206	0.12	0.23	0.66
coarEASm-235-21	29171	2794	5417	20960	0.10	0.19	0.72
coarEASm-236-21	34250	3612	7588	23050	0.11	0.22	0.67
coarEASm-237-21	28081	3092	7189	17800	0.11	0.26	0.63
