Sample	Total Reads	Off-target Reads	Primer Only Reads	Primer Probe Reads	Off-target Proportion	Primer Only Proportion	Primer Probe Proportion
02_input_files/coarCHIm-5033-21_S330_L001_R1_001	21553	2459	6532	12562	0.11	0.30	0.58
02_input_files/coarCHIm-5034-21_S331_L001_R1_001	18552	1968	5454	11130	0.11	0.29	0.60
02_input_files/coarCHIm-5035-21_S332_L001_R1_001	22256	2990	7428	11838	0.13	0.33	0.53
02_input_files/coarCHIm-5036-21_S333_L001_R1_001	18262	2060	5432	10770	0.11	0.30	0.59
02_input_files/coarCHIm-5037-21_S334_L001_R1_001	20063	2358	6344	11361	0.12	0.32	0.57
02_input_files/coarCHIm-5038-21_S335_L001_R1_001	23033	2371	6409	14253	0.10	0.28	0.62
02_input_files/coarCHIm-5039-21_S336_L001_R1_001	26237	2949	8023	15265	0.11	0.31	0.58
02_input_files/coarCHIm-5040-21_S337_L001_R1_001	34298	3841	12213	18244	0.11	0.36	0.53
02_input_files/coarCHIm-5041-21_S338_L001_R1_001	21961	2392	6639	12930	0.11	0.30	0.59
02_input_files/coarCHIm-5042-21_S339_L001_R1_001	22012	2685	7192	12135	0.12	0.33	0.55
02_input_files/coarCHIm-5043-21_S340_L001_R1_001	30849	3267	8916	18666	0.11	0.29	0.61
02_input_files/coarCHIm-5044-21_S341_L001_R1_001	34916	3142	9643	22131	0.09	0.28	0.63
02_input_files/coarCHIm-5045-21_S342_L001_R1_001	23345	2639	6973	13733	0.11	0.30	0.59
02_input_files/coarCHIm-5046-21_S343_L001_R1_001	20496	2335	6184	11977	0.11	0.30	0.58
02_input_files/coarCHIm-5047-21_S344_L001_R1_001	19762	2578	6634	10550	0.13	0.34	0.53
02_input_files/coarCHIm-5048-21_S345_L001_R1_001	20565	2364	6374	11827	0.11	0.31	0.58
02_input_files/coarCHIm-5049-21_S346_L001_R1_001	24424	2840	8017	13567	0.12	0.33	0.56
02_input_files/coarCHIm-5050-21_S347_L001_R1_001	23777	2424	6209	15144	0.10	0.26	0.64
02_input_files/coarCHIm-5076-21_S348_L001_R1_001	23984	2675	7613	13696	0.11	0.32	0.57
02_input_files/coarCHIm-5077-21_S349_L001_R1_001	32698	3048	9781	19869	0.09	0.30	0.61
02_input_files/coarCHIm-5078-21_S350_L001_R1_001	23866	2882	7576	13408	0.12	0.32	0.56
02_input_files/coarCHIm-5079-21_S351_L001_R1_001	28256	3235	9027	15994	0.11	0.32	0.57
02_input_files/coarCHIm-5080-21_S352_L001_R1_001	23460	2761	7437	13262	0.12	0.32	0.57
02_input_files/coarCHIm-5081-21_S353_L001_R1_001	26723	2708	8027	15988	0.10	0.30	0.60
02_input_files/coarCHIm-5082-21_S354_L001_R1_001	20255	2459	6430	11366	0.12	0.32	0.56
02_input_files/coarCHIm-5083-21_S355_L001_R1_001	20508	2341	6193	11974	0.11	0.30	0.58
02_input_files/coarCHIm-5084-21_S356_L001_R1_001	25770	3124	8421	14225	0.12	0.33	0.55
02_input_files/coarCHIm-5085-21_S357_L001_R1_001	27099	3043	8337	15719	0.11	0.31	0.58
02_input_files/coarCHIm-5086-21_S358_L001_R1_001	19299	2128	5739	11432	0.11	0.30	0.59
02_input_files/coarCHIm-5087-21_S359_L001_R1_001	24883	2618	6879	15386	0.11	0.28	0.62
02_input_files/coarCHIm-5088-21_S360_L001_R1_001	35718	3489	10408	21821	0.10	0.29	0.61
02_input_files/coarCHIm-5089-21_S361_L001_R1_001	36734	3641	11838	21255	0.10	0.32	0.58
02_input_files/coarCHIm-5090-21_S362_L001_R1_001	26669	2693	7832	16144	0.10	0.29	0.61
02_input_files/coarCHIm-5091-21_S363_L001_R1_001	24179	2945	7866	13368	0.12	0.33	0.55
02_input_files/coarCHIm-5092-21_S364_L001_R1_001	26556	3443	9183	13930	0.13	0.35	0.52
02_input_files/coarCHIm-5093-21_S365_L001_R1_001	26978	2444	7420	17114	0.09	0.28	0.63
02_input_files/coarCHIm-5094-21_S366_L001_R1_001	23720	2640	7641	13439	0.11	0.32	0.57
02_input_files/coarCHIm-5095-21_S367_L001_R1_001	16500	1998	5364	9138	0.12	0.33	0.55
02_input_files/coarCHIm-5096-21_S368_L001_R1_001	23215	2763	7295	13157	0.12	0.31	0.57
02_input_files/coarCHIm-5097-21_S81_L001_R1_001	19317	2516	6115	10686	0.13	0.32	0.55
02_input_files/coarCHIm-5098-21_S82_L001_R1_001	16973	2154	5041	9778	0.13	0.30	0.58
02_input_files/coarCHIm-5099-21_S83_L001_R1_001	18361	2332	5557	10472	0.13	0.30	0.57
02_input_files/coarCHIm-9491-23_S256_L001_R1_001	9953	1392	3602	4959	0.14	0.36	0.50
02_input_files/coarCHIm-9492-23_S257_L001_R1_001	14547	1777	4867	7903	0.12	0.33	0.54
02_input_files/coarCHIm-9493-23_S258_L001_R1_001	12798	1697	4470	6631	0.13	0.35	0.52
02_input_files/coarCHIm-9494-23_S259_L001_R1_001	163	58	98	7	0.36	0.60	0.04
02_input_files/coarCHIm-9495-23_S260_L001_R1_001	13434	1732	4590	7112	0.13	0.34	0.53
02_input_files/coarCHIm-9496-23_S261_L001_R1_001	10583	1172	3161	6250	0.11	0.30	0.59
02_input_files/coarCHIm-9497-23_S262_L001_R1_001	13134	1685	4219	7230	0.13	0.32	0.55
02_input_files/coarCHIm-9498-23_S263_L001_R1_001	12869	1695	4198	6976	0.13	0.33	0.54
02_input_files/coarCHIm-9499-23_S264_L001_R1_001	19049	2519	7054	9476	0.13	0.37	0.50
02_input_files/coarCHIm-9500-23_S265_L001_R1_001	26258	3387	11583	11288	0.13	0.44	0.43
02_input_files/coarCHIm-9501-23_S266_L001_R1_001	16649	1835	5079	9735	0.11	0.31	0.58
02_input_files/coarCHIm-9502-23_S267_L001_R1_001	14559	1973	5242	7344	0.14	0.36	0.50
02_input_files/coarCHIm-9503-23_S268_L001_R1_001	14277	1548	4121	8608	0.11	0.29	0.60
02_input_files/coarCHIm-9504-23_S269_L001_R1_001	13093	1564	4169	7360	0.12	0.32	0.56
02_input_files/coarCHIm-9505-23_S270_L001_R1_001	10499	1421	3681	5397	0.14	0.35	0.51
02_input_files/coarCHIm-9506-23_S271_L001_R1_001	15140	1993	5384	7763	0.13	0.36	0.51
02_input_files/coarCHIm-9507-23_S272_L001_R1_001	11248	1472	3569	6207	0.13	0.32	0.55
02_input_files/coarCHIm-9508-23_S273_L001_R1_001	11323	1616	4007	5700	0.14	0.35	0.50
02_input_files/coarCHIm-9509-23_S274_L001_R1_001	12263	1550	3942	6771	0.13	0.32	0.55
02_input_files/coarCHIm-9510-23_S275_L001_R1_001	11515	1679	4125	5711	0.15	0.36	0.50
02_input_files/coarCHIm-9511-23_S276_L001_R1_001	11	5	6	0	0.45	0.55	0.00
02_input_files/coarCHIm-9512-23_S277_L001_R1_001	33500	3729	13230	16541	0.11	0.39	0.49
02_input_files/coarCHIm-9513-23_S278_L001_R1_001	18981	2235	6467	10279	0.12	0.34	0.54
02_input_files/coarCHIm-9514-23_S279_L001_R1_001	18329	2099	6010	10220	0.11	0.33	0.56
02_input_files/coarCHIm-9515-23_S280_L001_R1_001	15448	1910	5335	8203	0.12	0.35	0.53
02_input_files/coarCHIm-M10-23_S285_L001_R1_001	13234	1724	4811	6699	0.13	0.36	0.51
02_input_files/coarCHIm-M11-23_S286_L001_R1_001	66	24	41	1	0.36	0.62	0.02
02_input_files/coarCHIm-M12-23_S287_L001_R1_001	15468	1966	5214	8288	0.13	0.34	0.54
